Lot,Variety,Fields,Customer,Selected,Ranking,Greeness ,Shatter ,Rating,Evergreen,Woody,Nutty,Earthy,Spicy,Vegetal,Floral,Grassy,Herbal,Fruity,Stonefruit,Citrus,Tropical,OG,Cheesy,Plastic,Diesel,Notes
22-WA397-001,Simcoe ,"#15,#14 East",Official Sensory,Yes,0,5,2,0,0,2,0,0,0,0,2,1,1,0,5,6,6,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-001
22-WA397-001,Simcoe ,"#15,#14 East",MOTHER EARTH BREW CO.,No,3,5,2,6,0,3,0,0,0,0,0,5,5,0,7,4,0,0,3,0,0,"Peach rings,"
22-WA397-001,Simcoe ,"#15,#14 East","DESCHUTES BREWERY, INC",No,4,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clean, low impact, fruit, pine"
22-WA397-001,Simcoe ,"#15,#14 East",Pinthouse Pizza LLC,No,5,5,2,8,0,0,0,0,0,0,0,3,0,0,4,7,3,0,0,0,0,"Felt a touch dry, grape bubblegum, sweeter fruit aroma, less intense grapefruit"
22-WA397-001,Simcoe ,"#15,#14 East",FOUNDERS BREWING CO.,No,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,"Meh, catty, some og, grapefruit, fruit cup, pine"
22-WA397-002,Simcoe ,#15,Fiddlehead Brewing Co,Yes,1,4,3,9,0,1,0,3,0,2,5,1,2,0,5,6,8,0,0,3,2,"Fresh peach, mango, papaya, pineapple, bright, light waxy, honey *top choice"
22-WA397-002,Simcoe ,#15,Official Sensory,Yes,0,4,3,0,0,4,0,0,1,0,2,1,3,0,4,5,3,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-002
22-WA397-002,Simcoe ,#15,Fat Head's Brewery,No,5,4,3,3,0,2,0,3,3,4,4,4,4,0,3,3,3,2,3,1,1,"Darker, had some oxidation, herbal, grassy, minty, lacking tropical fruitiness and complexity"
22-WA397-003,Simcoe ,#15,Official Sensory,Yes,0,4,2,0,0,3,0,0,0,1,2,1,3,0,4,6,5,1,0,0,0,Average internal validated sensory analysis for lot 22-WA397-003
22-WA397-004,Simcoe ,#16,ABInBev,Yes,4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ALL OF THIS LOT - 29,040# to brewhouse blend"
22-WA397-004,Simcoe ,#16,Official Sensory,Yes,0,3,3,0,0,4,0,0,1,1,1,1,2,0,4,6,4,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-004
22-WA397-005,Simcoe ,#16,Superflux Beer Company,Yes,1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,
22-WA397-005,Simcoe ,#16,GREAT LAKES BREWING CO,Yes,1,5,3,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
22-WA397-005,Simcoe ,#16,Barrelhouse Brewing Co,Yes,1,5,3,9,0,6,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,
22-WA397-005,Simcoe ,#16,Hi-Wire Brewing Company,Yes,1,5,3,8,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,
22-WA397-005,Simcoe ,#16,FrauGruber Craft Brewing,Yes,1,5,3,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,The Simcoe they were looking for.
22-WA397-005,Simcoe ,#16,Official Sensory,Yes,0,5,3,0,0,5,0,0,0,1,2,1,3,0,5,7,5,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-005
22-WA397-005,Simcoe ,#16,Kulshan Brewing Company,No,3,5,3,5,0,4,0,2,5,0,2,3,0,0,0,5,0,0,0,0,0,Decent lot.  Low pungency overall.
22-WA397-005,Simcoe ,#16,"Kings County Brewers Collective, LLC",No,4,5,3,5,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,"Lemon pledge, foresty, less fruity"
22-WA397-005,Simcoe ,#16,Brasserie Du Bas-Canada Inc.,No,2,5,3,9,0,4,0,0,0,0,3,3,0,0,5,6,5,0,0,0,0,
22-WA397-005,Simcoe ,#16,New Trail Brewing,No,4,5,3,7,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,
22-WA397-005,Simcoe ,#16,Meanwhile Brewing Co,No,2,5,3,7,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,1,
22-WA397-005,Simcoe ,#16,Shipyard Brewery Inc.,No,2,5,3,8,0,3,0,0,3,0,2,2,1,0,3,3,5,0,0,0,0,
22-WA397-005,Simcoe ,#16,Coronado Brewing Company,No,3,5,3,6,0,0,0,2,0,0,0,0,3,0,0,6,2,0,0,4,2,Printer ink
22-WA397-005,Simcoe ,#16,Widowmaker Brewing,No,6,5,3,8,0,2,0,5,1,0,3,4,0,0,0,10,1,0,0,0,0,"Nice lot, good aroma, but not dank/piney which is what we&#39;re looking for. Citrus forward, lemon/lemongrass. More similar to Citra lots. Liked the hop but not for large lot Simcoe"
22-WA397-005,Simcoe ,#16,LION PTY,No,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22-WA397-006,Simcoe ,#81,Brasserie Du Bas-Canada Inc.,Yes,1,4,4,8,0,4,0,0,0,2,4,4,0,0,4,5,4,0,0,0,0,
22-WA397-006,Simcoe ,#81,4 Hands Brewing Co.,Yes,1,4,4,8,0,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,"Very nice. Blend of citrus and tropical with a little pine. - Slightly more tropical than we're typically looking for, but still great."
22-WA397-006,Simcoe ,#81,Ghost Town Brewing,Yes,1,4,4,8,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,
22-WA397-006,Simcoe ,#81,CBCo Brewing,Yes,1,4,4,8,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Subtle, pine needles, classic simcoe, tropical passion fruit, bubblegum"
22-WA397-006,Simcoe ,#81,Maplewood Brewing Company,Yes,1,4,4,9,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,"Peach rings, cooked stonefruit, like jelly, - were looking for peach"
22-WA397-006,Simcoe ,#81,Cabin Brewing Company Inc.,Yes,2,4,4,8,0,8,0,0,0,2,6,2,6,0,2,9,4,0,0,0,0,Classic simcoe
22-WA397-006,Simcoe ,#81,Official Sensory,Yes,0,4,4,0,0,2,0,1,1,0,1,1,4,0,4,5,5,0,0,0,0,Average internal validated sensory analysis for lot 22-WA397-006
22-WA397-006,Simcoe ,#81,"Kings County Brewers Collective, LLC",No,2,4,4,8,0,2,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,"Complex, classic, pineapple"
22-WA397-006,Simcoe ,#81,GREAT LAKES BREWING CO,No,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,
22-WA397-006,Simcoe ,#81,Sebago Brewing Company,No,5,4,4,5,0,3,0,0,0,0,0,5,0,0,0,4,7,0,0,0,0,"Pine, pineapple, citrus, notes of hay - hay was a turn off"
22-WA397-006,Simcoe ,#81,Urban Roots Brewery,No,2,4,4,7,0,2,0,1,0,0,0,1,2,0,0,6,0,0,0,0,0,
22-WA397-006,Simcoe ,#81,Columbus Brewing Co.,No,4,4,4,4,0,0,0,0,0,0,0,2,0,0,2,5,2,3,2,0,0,"Ok, but showed some grass and dairy"
